8,2,42,27,34,35,16,31,40,45
26,32,18,38,35,17,46,5,33,22
10,15,18,39,32,26,35,48,20,9
5,17,39,8,29,25,7,12,4,33
20,16,31,2,10,41,43,26,34,36
37,12,17,40,6,47,2,39,31,28
17,15,24,4,13,47,36,45,32,16
12,40,49,31,28,36,14,47,2,0
19,7,15,3,11,5,14,22,34,26
17,10,1,6,25,47,22,41,8,20
48,36,3,31,42,5,13,21,14,27
13,2,23,44,46,28,33,12,47,42
34,48,9,38,21,42,37,43,13,31
46,14,23,13,7,38,15,4,32,28
16,15,43,12,2,26,3,30,25,8
46,4,5,1,8,13,17,47,25,37
36,41,5,48,12,47,33,32,20,38
12,43,18,47,25,1,9,8,38,5
5,13,22,8,14,7,31,41,48,19
44,46,5,18,23,43,17,21,1,30
36,22,21,45,40,29,17,11,47,35
2,10,18,30,5,16,9,25,39,31
16,47,39,26,7,42,28,9,19,37
49,25,40,39,24,26,35,15,13,6
47,27,0,16,39,45,1,37,43,40
3,45,15,47,26,24,11,21,16,43
31,8,9,27,0,18,6,40,13,5
23,42,41,36,34,20,32,1,16,10
7,25,11,32,12,22,40,13,43,37
49,43,48,16,21,6,35,7,34,15
