46,4,14,33,37,18,21,39,38,1,28,45
35,47,8,19,30,25,0,20,21,6,41,18
41,12,49,45,21,35,37,29,30,18,10,6
37,19,21,0,27,23,16,44,8,35,7,28
34,15,25,19,8,21,27,5,4,0,11,30
32,21,29,15,34,49,2,25,24,39,19,11
39,2,14,12,7,44,13,27,24,18,29,26
7,26,32,45,33,34,37,8,36,49,42,43
2,19,17,47,42,1,8,9,20,43,16,37
4,31,20,9,6,28,49,5,11,10,36,18
17,3,8,34,48,7,23,35,20,15,44,25
20,35,11,48,34,4,19,28,13,16,46,30
44,31,36,14,28,11,6,7,43,35,15,38
32,2,48,10,9,29,14,36,38,27,34,33
47,23,18,9,11,40,10,49,13,27,14,29
39,14,41,15,23,16,43,42,49,31,29,9
41,34,10,8,40,42,46,14,21,19,16,32
42,16,10,36,15,21,29,46,1,18,35,4
4,42,39,5,19,24,1,10,27,13,14,17
26,13,18,6,49,41,10,3,43,9,14,31
19,7,33,14,41,11,36,6,2,12,45,17
31,7,22,4,20,27,2,24,48,19,6,29
35,27,3,21,33,39,46,45,40,1,15,34
30,8,45,12,48,13,35,36,24,6,42,14
43,40,6,45,22,39,34,1,44,49,47,17
30,12,10,40,20,32,42,34,16,9,21,43
5,15,26,36,25,18,31,12,10,39,11,8
19,41,48,29,1,31,32,7,36,47,45,24
3,18,16,36,39,1,20,32,10,46,0,44
24,32,44,21,6,5,31,28,45,22,47,0
