42,13,32,37,21,3,19,15
8,23,22,25,18,24,33,37
4,18,16,29,13,45,39,30
45,3,8,43,36,0,20,9
40,42,24,1,43,39,12,41
25,44,3,6,13,2,15,49
49,42,41,45,7,5,3,27
11,21,38,9,18,44,36,43
46,36,5,33,40,0,44,20
27,24,0,1,34,26,2,11
11,22,35,13,39,29,20,9
39,16,17,26,43,35,46,6
18,26,30,22,48,39,40,41
21,26,11,43,40,27,35,1
19,44,27,7,42,5,14,26
38,8,16,1,37,21,9,4
6,30,33,24,4,40,12,27
37,12,48,31,24,46,32,28
38,27,11,9,41,28,14,20
26,44,2,45,16,37,47,21
9,21,35,15,30,41,18,7
29,18,15,27,17,42,1,9
37,19,21,27,24,46,15,23
13,29,6,43,44,12,36,28
13,39,32,46,9,49,7,29
25,21,33,8,49,41,44,13
0,45,14,26,15,3,34,19
27,30,43,21,49,5,14,38
37,17,1,5,19,2,7,11
34,48,24,37,26,18,0,9
