47,21,1,11,4,27,14,44,32,20,22,5
12,5,15,18,17,22,45,37,35,31,11,28
27,4,39,14,42,7,21,37,33,26,34,3
42,19,48,4,8,28,46,31,2,14,25,49
7,49,30,47,28,32,8,24,17,36,4,0
19,22,44,11,20,32,46,10,18,42,9,40
43,42,19,25,0,22,33,23,3,48,36,10
31,12,25,32,42,13,49,22,2,4,24,16
4,1,43,33,8,48,36,20,41,19,34,46
35,16,20,15,40,37,49,12,22,21,10,32
41,9,3,32,6,12,4,19,34,11,44,27
31,34,47,40,48,23,2,19,45,29,42,7
31,30,16,4,39,9,8,40,13,28,41,36
41,4,18,29,42,35,5,39,45,36,27,33
28,3,21,20,46,41,5,2,8,31,12,35
1,25,10,32,34,46,19,39,47,30,28,33
2,24,0,43,46,40,11,6,15,47,7,21
4,7,45,34,12,30,24,15,3,1,38,25
7,42,1,31,22,34,29,6,48,28,13,26
18,38,25,21,24,43,1,29,48,40,26,0
36,33,23,2,3,13,32,43,24,6,16,19
22,5,44,32,12,15,24,23,36,20,33,1
4,19,22,29,23,8,7,31,40,27,34,47
20,47,18,40,35,22,26,45,19,34,37,49
45,43,19,17,36,25,5,41,13,10,0,32
4,49,15,36,3,8,42,29,43,20,0,31
35,15,1,24,34,41,25,48,49,23,33,20
41,20,23,19,6,12,43,26,25,9,45,4
15,17,2,3,13,7,40,25,9,4,34,47
47,36,24,25,35,28,44,31,33,20,43,41
