7,35,38,24,34,5,3,14,37,33,6,43,39,8,23
25,46,41,36,5,9,16,7,1,43,18,26,45,44,38
32,29,46,14,40,1,35,0,43,49,8,39,9,37,34
29,1,20,49,13,37,44,38,19,27,18,26,23,21,10
45,43,31,21,15,1,7,49,0,42,13,30,48,35,22
12,28,36,39,6,5,17,7,22,49,32,31,10,47,1
43,36,48,29,4,8,28,19,16,38,42,1,7,44,3
22,23,4,31,24,30,44,16,49,37,36,34,14,27,43
23,25,12,40,41,3,34,29,27,44,28,10,47,32,26
25,38,36,16,37,8,9,43,3,39,44,21,24,18,49
5,24,39,46,27,37,34,15,30,23,17,10,25,43,13
5,8,1,27,9,48,14,11,29,4,46,16,15,47,0
40,29,42,4,37,0,46,43,27,21,38,24,41,1,35
18,46,7,23,33,15,17,11,40,28,3,6,0,31,13
41,3,7,13,30,4,37,47,11,16,48,25,17,12,29
36,15,42,48,20,11,39,47,43,22,1,9,4,16,45
8,34,7,16,41,6,22,11,1,39,14,28,17,33,18
46,36,3,29,32,17,26,15,24,33,30,9,16,2,19
45,48,1,22,41,23,9,10,7,19,17,26,33,4,27
5,36,24,28,46,40,44,13,35,1,39,18,6,4,20
38,0,18,46,37,48,40,23,6,10,29,1,14,22,30
32,33,20,35,49,8,0,39,5,41,28,26,17,10,24
22,32,11,18,20,34,4,13,46,27,31,19,14,1,7
11,39,9,27,48,32,21,31,8,1,23,10,17,47,15
39,14,44,48,29,10,30,31,13,22,7,9,36,42,40
25,1,8,27,39,35,38,47,37,17,33,7,43,34,30
4,25,45,15,3,7,16,34,10,31,13,11,21,22,18
13,40,24,17,26,34,41,25,44,16,46,43,37,35,6
33,6,0,34,4,20,24,31,1,25,35,16,47,45,43
9,29,3,30,28,45,19,14,34,4,6,41,44,42,32
