41,46,28,17,3,32,34,20,19,4,43,33,21,42,26
12,8,46,16,37,32,22,41,4,5,3,11,2,44,33
33,14,36,43,21,16,19,25,3,37,28,32,35,1,26
23,32,44,22,36,7,29,40,5,4,42,35,28,15,30
15,13,31,28,3,5,49,9,41,30,4,32,38,26,33
46,45,18,0,17,41,48,5,1,28,19,25,20,33,24
46,35,31,26,28,27,43,44,6,38,34,19,7,40,24
32,35,45,44,15,24,21,25,20,38,27,13,43,47,6
20,25,37,45,34,9,21,36,41,32,33,44,11,24,40
29,21,43,46,10,44,32,49,3,11,41,34,8,4,1
49,31,43,40,23,3,48,17,9,6,38,25,36,34,10
37,36,16,34,33,24,11,32,21,25,19,7,48,29,5
26,44,24,47,14,28,17,3,49,8,25,22,30,40,13
10,7,37,25,17,20,11,34,33,26,46,4,1,9,36
6,34,31,44,9,42,0,41,12,18,49,38,37,10,27
18,11,12,40,33,42,14,13,6,32,0,10,23,27,1
5,15,9,46,49,12,4,18,45,13,29,48,21,40,28
4,38,44,46,19,33,45,35,49,48,39,34,8,47,32
23,11,14,34,0,17,39,42,24,25,46,20,44,19,2
49,34,37,45,25,41,16,24,9,38,46,23,11,48,30
8,2,18,38,49,36,12,22,46,10,34,28,45,15,32
47,2,34,4,30,1,20,13,23,9,31,27,35,8,14
19,33,49,46,29,47,24,20,1,18,38,43,44,37,32
28,34,32,36,5,4,9,6,14,41,48,43,46,23,0
2,25,29,34,3,48,20,27,4,33,6,19,44,0,39
24,36,8,17,38,28,29,33,7,23,37,48,10,13,40
25,42,35,49,32,28,33,19,26,22,48,36,0,6,30
18,0,42,23,25,39,19,46,6,36,21,9,3,16,48
32,39,0,45,49,14,13,41,17,31,2,37,33,9,35
19,40,12,33,11,38,49,9,24,4,28,8,32,5,41
