1,15,2,46,13,22,39,29
15,43,17,6,11,41,38,8
37,31,30,22,34,8,10,0
6,18,46,30,45,41,28,11
30,29,44,25,22,0,7,3
4,7,37,38,19,48,22,1
12,0,25,17,47,6,49,39
21,48,36,16,39,23,7,3
48,37,6,5,26,35,49,7
14,43,28,21,17,45,11,15
14,40,34,26,46,5,41,43
18,7,32,49,27,21,11,10
8,46,37,5,17,47,29,31
32,26,8,48,15,14,30,19
26,23,8,10,49,33,0,25
28,32,2,17,3,47,6,20
16,32,15,10,33,47,43,13
41,29,48,47,4,13,21,44
19,1,13,38,2,27,14,39
49,7,40,0,28,12,26,1
15,22,11,4,48,19,24,13
4,43,26,22,31,42,33,13
6,35,18,46,39,2,17,8
34,26,38,5,42,12,0,22
8,36,11,12,47,24,15,3
14,42,16,49,5,3,48,36
45,19,35,20,49,18,11,10
38,25,36,41,32,6,10,15
47,20,3,13,39,27,35,22
31,36,10,33,35,21,8,16
