13,18,3,5,9,16,33,14,11,19,41,27
9,15,36,48,17,41,16,32,31,34,30,38
12,39,45,13,46,15,28,43,22,49,25,38
45,49,7,39,32,43,28,25,44,36,48,1
20,9,49,6,42,3,39,36,1,35,17,24
47,34,25,13,36,3,12,18,1,38,26,9
10,43,19,22,30,9,24,29,5,39,34,26
2,48,45,36,16,42,19,24,23,8,41,33
32,6,31,39,25,26,0,24,4,2,17,29
3,45,38,46,19,15,16,34,25,27,6,47
13,31,2,47,44,10,18,20,21,11,26,14
27,48,22,32,15,19,2,8,17,31,0,5
25,4,8,44,28,23,29,31,33,49,0,13
13,24,27,6,39,43,7,19,44,42,25,17
32,9,1,33,14,17,42,41,34,5,10,46
20,27,12,22,9,19,42,11,47,0,48,13
13,23,36,9,48,3,27,30,37,11,16,46
44,30,8,2,22,34,11,0,20,37,42,49
11,39,14,38,36,41,27,5,32,48,26,17
19,45,22,5,18,41,27,9,48,7,11,8
47,2,38,31,3,41,43,39,40,34,15,9
38,19,11,0,22,40,23,39,28,41,33,37
24,46,39,9,18,27,48,28,17,45,41,3
24,44,4,28,1,29,13,22,0,16,27,35
37,30,4,16,31,13,15,23,11,8,35,40
31,43,10,15,3,44,19,49,20,9,29,16
39,17,15,42,11,31,5,0,33,8,18,4
27,23,41,22,12,43,38,33,4,24,10,40
31,25,7,2,27,33,24,13,39,23,16,22
40,21,39,44,30,10,26,13,22,43,47,20
